id,title,type,year_of_writing,place,author,translator,direction,year_played
42,Με αφορμή το χιόνι που λιώνει,Δραματοποιημένη Λογοτεχνία ,1864,Πειραματική Σκηνή,Φιοντόρ Μιχαήλοβιτς Ντοστογιέφσκι,-,Ελένη Μποζά,2005
43,Μολιέρος,Δράμα,1931,Πειραματική Σκηνή,Μιχαήλ Μπουλγκάκοφ,Λεωνίδας Καρατζάς,Στάθης Λιβαθινός,2004
44,Ντόγκβιλ,Δράμα,2003,Νέα Σκηνή,"Τρίερ, Λαρς φον",Στρατής Πασχάλης,Αντώνης Καλογρίδης,2005
45,Όνειρο καλοκαιρινής νύχτας,Αγγλικό Θέατρο ,1595,Παιδικό Στέκι,Γουίλιαμ Σαίξπηρ,Γιάννης Γ. Ιορδανίδης,Γιάννης Γ. Ιορδανίδης,2004
46,Ορέστεια Η σονάτα του Κρόυτσερ,Δραματοποιημένη Λογοτεχνία ,1889,Πειραματική Σκηνή,Λεβ Νικολάεβιτς Τολστόι,Αντρέας Σαραντόπουλος,Στρατής Πανούριος,2005
47,Βασιλιάς Ληρ,Τραγωδία,1604,Κεντρική Σκηνή,Γουίλιαμ Σαίξπηρ,Ερρίκος Μπελιές,Σλόμπονταν Ουνκόφσκι,2006
48,Δόκτωρ Φάουστους,Αγγλικό Θέατρο,1588,Νέα Σκηνή,Κρίστοφερ Μάρλοου,Χριστίνα Μπάμπου-Παγκουρέλη,Δημήτρης Λιγνάδης,2006
49,Ηλέκτρα,Αρχαίο δράμα ,413 π.Χ,Νέα Σκηνή,Σοφοκλής,Γιώργος Χειμωνάς,Έφη Θεοδώρου,2006
50,Όνειρο,Σουηδικό Θέατρο ,1901,Πειραματική Σκηνή,"Στρίντμπεργκ, Αύγουστος Ιωάννης φον",Γιώργος Δεπάστας,Στάθης Λιβαθινός,2006
51,Τρία νεοελληνικά έργα σε πρώτη παρουσίαση. Versus. Τραστ. Συνεχόμενοι λυγμοί,Νεοελληνικό Θέατρο ,2005,Πειραματική Σκηνή ,Χρήστος Στρέπκος,-,Δημήτρης Τιμπιλής,2005
